"total sulfur dioxide","total sulfur dioxide1","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","density","max_density","pH","max_pH","sulphates","alcohol","quality"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"140","140","7.9","0.52","0.26","1.9","0.079","42","0.9964","1.00369","3.23","3.23","0.54","9.5","5"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
"136","136","8.6","0.49","0.28","1.9","0.11","20","0.9972","1.00369","2.93","2.93","1.95","9.9","6"
